,temp,diff_coef,1/temp,red_diff,S_ex
0,0.6,0.3618983583966396,1.6666666666666667,0.4964834048407408,-2.4733455224
1,0.7,0.4058259361457056,1.4285714285714286,0.5154476071102521,-2.3318829547
2,0.8,0.47698771819555585,1.25,0.566703574349872,-2.2415291938
3,0.9,0.5434827802615484,1.1111111111111112,0.6087770648381046,-2.1704800623
4,1.0,0.6454733371279237,1.0,0.6859177728778846,-2.1070658717
5,1.1,0.6573940633120161,0.9090909090909091,0.6660750773862238,-2.0535309411
6,1.2,0.7119598353817442,0.8333333333333334,0.6906509597015418,-2.0048660363
7,1.3,0.7448619017323233,0.7692307692307692,0.694221139404654,-1.9608317173
8,1.4,0.8496791292283518,0.7142857142857143,0.7631056720275164,-1.920117501
9,1.5,0.8922840157883789,0.6666666666666666,0.7741965511926003,-1.8829881239
10,1.7,0.9595724356441925,0.5882352941176471,0.7820725666340418,-1.8177055394
11,1.9,1.1174679349918843,0.5263157894736842,0.861493526512558,-1.7604978209
12,2.1,1.1575191218961802,0.47619047619047616,0.8488134946868682,-1.7100943164
13,2.5,1.4503444534365442,0.4,0.9747537233202666,-1.6256372645
14,2.9,1.4875264302893274,0.3448275862068966,0.9282382078049598,-1.5561686792
15,3.5,1.749171765084627,0.2857142857142857,0.9935556214793287,-1.4714428219
16,4.0,1.9876576773445374,0.25,1.056100731715889,-1.4152930588
17,5.0,2.4454491570655197,0.2,1.162163909328786,-1.3253233148
18,6.0,2.926924253951656,0.16666666666666666,1.2697832881211069,-1.2562005585
