,temp,diff_coef,1/temp,red_diff,Sex
1,0.6,0.023677891026133793,1.6666666666666667,0.032483374636418594,-4.8743786424
2,0.7,0.040601108801852984,1.4285714285714286,0.051568277219286265,-4.6205470175
3,0.8,0.06106802897873659,1.25,0.0725542167661499,-4.4097227078
4,0.9,0.08230959359443601,1.1111111111111112,0.09219830805370446,-4.2316967389
5,1.0,0.1057871260063977,1.0,0.11241559595989917,-4.0799322842
6,1.2,0.15433067819081697,0.8333333333333334,0.1497115788093945,-3.8290789451
7,1.5,0.23448030278319926,0.6666666666666666,0.20344849680732546,-3.5446842813
8,1.8,0.31003935720894793,0.5555555555555556,0.24556944231062108,-3.3282465765
9,2.3,0.44124499650448373,0.4347826086956522,0.30917874103567655,-3.0602767932
10,2.8,0.5887385576601689,0.35714285714285715,0.37388428600891727,-2.8617026267
11,3.4,0.7407552691257977,0.29411764705882354,0.4269028356281906,-2.6794715459
12,4.0,0.9181230499797473,0.25,0.4878256633125266,-2.5365116302
13,5.0,1.1631227715085761,0.2,0.5527570684756308,-2.3542782362
14,7.0,1.6940009870297408,0.14285714285714285,0.6803907296739155,-2.1065468309
